date,date_diff,sum
2020-01-21,0,1
2020-01-22,1,1
2020-01-23,2,1
2020-01-24,3,2
2020-01-25,4,3
2020-01-26,5,5
2020-01-27,6,5
2020-01-28,7,5
2020-01-29,8,5
2020-01-30,9,6
2020-01-31,10,7
2020-02-01,11,8
2020-02-02,12,11
2020-02-03,13,11
2020-02-04,14,11
2020-02-05,15,12
2020-02-06,16,12
2020-02-07,17,12
2020-02-08,18,12
2020-02-09,19,12
2020-02-10,20,13
2020-02-11,21,13
2020-02-12,22,14
2020-02-13,23,15
2020-02-14,24,15
2020-02-15,25,15
2020-02-16,26,15
2020-02-17,27,25
2020-02-18,28,25
2020-02-19,29,25
2020-02-20,30,27
2020-02-21,31,30
2020-02-22,32,30
2020-02-23,33,30
2020-02-24,34,43
2020-02-25,35,45
2020-02-26,36,60
2020-02-27,37,60
2020-02-28,38,65
2020-02-29,39,70
2020-03-01,40,88
2020-03-02,41,104
2020-03-03,42,125
2020-03-04,43,161
2020-03-05,44,228
2020-03-06,45,311
2020-03-07,46,428
2020-03-08,47,547
2020-03-09,48,748
2020-03-10,49,1018
2020-03-11,50,1263
2020-03-12,51,1668
2020-03-13,52,2224
2020-03-14,53,2898
2020-03-15,54,3600
2020-03-16,55,4507
2020-03-17,56,5905
2020-03-18,57,8345
2020-03-19,58,12413
2020-03-20,59,17996
2020-03-21,60,24532
2020-03-22,61,33061
2020-03-23,62,43499
2020-03-24,63,53938
2020-03-25,64,68515
2020-03-26,65,85533
2020-03-27,66,102648
2020-03-28,67,123628
2020-03-29,68,142161
2020-03-30,69,163796
